,bus_count,hour
0,329,19
1,295,20
2,253,21
3,214,22
4,183,23
5,109,0
6,43,1
7,29,2
8,38,3
9,65,4
10,100,5
11,161,6
12,201,7
13,230,8
14,267,9
15,304,10
16,341,11
17,370,12
18,393,13
19,399,14
20,395,15
21,392,16
22,374,17
23,329,18
24,289,19
25,237,20
26,206,21
27,176,22
28,143,23
29,97,0
30,34,1
31,30,2
32,54,3
33,147,4
34,302,5
35,505,6
36,589,7
37,570,8
38,504,9
39,475,10
40,465,11
41,478,12
42,523,13
43,572,14
44,601,15
45,610,16
46,575,17
47,480,18
48,387,19
49,305,20
50,254,21
51,207,22
52,164,23
53,103,0
54,37,1
55,29,2
56,54,3
57,152,4
58,301,5
59,516,6
60,607,7
61,580,8
62,517,9
63,478,10
64,469,11
65,496,12
66,533,13
67,579,14
68,606,15
69,608,16
70,567,17
71,488,18
72,393,19
73,305,20
74,245,21
75,203,22
76,167,23
77,107,0
78,34,1
79,28,2
80,53,3
81,139,4
82,311,5
83,511,6
84,606,7
85,595,8
86,516,9
87,467,10
88,462,11
89,474,12
90,515,13
91,574,14
92,595,15
93,604,16
94,561,17
95,490,18
96,394,19
97,302,20
98,248,21
99,197,22
100,159,23
101,105,0
102,36,1
103,28,2
104,56,3
105,141,4
106,302,5
107,507,6
108,596,7
109,584,8
110,504,9
111,465,10
112,467,11
113,485,12
114,518,13
115,571,14
116,585,15
117,583,16
118,553,17
119,498,18
120,394,19
121,309,20
122,252,21
123,203,22
124,157,23
125,113,0
126,36,1
127,26,2
128,57,3
129,147,4
130,306,5
131,509,6
132,597,7
133,581,8
134,513,9
135,468,10
136,465,11
137,486,12
138,533,13
139,578,14
140,597,15
141,596,16
142,565,17
143,483,18
144,392,19
145,308,20
146,256,21
147,211,22
148,172,23
149,127,0
150,46,1
151,27,2
152,40,3
153,78,4
154,141,5
155,195,6
156,259,7
157,286,8
158,323,9
159,362,10
160,391,11
161,421,12
162,435,13
163,441,14
164,452,15
165,439,16
166,406,17
167,376,18
168,335,19
169,285,20
170,238,21
171,206,22
172,172,23
173,119,0
174,52,1
175,30,2
176,37,3
177,63,4
178,104,5
179,160,6
180,194,7
181,224,8
182,249,9
183,302,10
184,283,11
185,364,12
186,379,13
187,366,14
188,369,15
189,366,16
190,354,17
191,306,18
